resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,stage_op,stage_cycles,stage_energy_mj,total_cycles,total_energy_mj,latency_share_pct,energy_share_pct
1080p,1920,1080,128,128,3,32,4096,50.0,ws,gaussian,3454680.0,6.9545285550000004,6950865.0,14.130523665,49.701440036599756,49.21635404231851
1080p,1920,1080,128,128,3,32,4096,50.0,ws,sobel,3496185.0,7.17599511,6950865.0,14.130523665,50.29855996340024,50.7836459576815
1080p,1920,1080,128,128,3,32,4096,200.0,os,gaussian,4704315.0,2.21192448,9419010.0,4.64822544,49.944898667694375,47.586428596285984
1080p,1920,1080,128,128,3,32,4096,200.0,os,sobel,4714695.0,2.43630096,9419010.0,4.64822544,50.05510133230563,52.41357140371402
1080p,1920,1080,128,128,3,32,4096,200.0,ws,gaussian,2428245.0,6.957078555,4866870.0,14.135623665,49.89336061986451,49.216636774405806
1080p,1920,1080,128,128,3,32,4096,200.0,ws,sobel,2438625.0,7.17854511,4866870.0,14.135623665,50.10663938013549,50.783363225594194
1080p,1920,1080,128,128,3,32,4096,800.0,os,gaussian,4626600.0,2.22242448,9255735.0,4.66922544,49.986305787708915,47.597283715647706
1080p,1920,1080,128,128,3,32,4096,800.0,os,sobel,4629135.0,2.44680096,9255735.0,4.66922544,50.013694212291085,52.402716284352294
1080p,1920,1080,128,128,3,32,4096,800.0,ws,gaussian,2171700.0,6.967578554999999,4345935.0,14.156623665,49.97083481460261,49.217798818981315
1080p,1920,1080,128,128,3,32,4096,800.0,ws,sobel,2174235.0,7.18904511,4345935.0,14.156623665,50.02916518539738,50.782201181018685
1080p,1920,1080,128,128,3,64,256,50.0,os,gaussian,4574280.0,9.710166480000002,9190065.0,19.64325144,49.77418549270326,49.43258253176441
1080p,1920,1080,128,128,3,64,256,50.0,os,sobel,4615785.0,9.93308496,9190065.0,19.64325144,50.22581450729674,50.5674174682356
1080p,1920,1080,128,128,3,64,256,50.0,ws,gaussian,2299530.0,2.619978555,4640565.0,5.461423665,49.552802298858005,47.972446667896435
1080p,1920,1080,128,128,3,64,256,50.0,ws,sobel,2341035.0,2.84144511,4640565.0,5.461423665,50.447197701142,52.02755333210356
1080p,1920,1080,128,128,3,64,256,200.0,os,gaussian,4423935.0,9.72606648,8858250.0,19.675051439999997,49.94141054948776,49.43349962596083
1080p,1920,1080,128,128,3,64,256,200.0,os,sobel,4434315.0,9.948984959999999,8858250.0,19.675051439999997,50.05858945051224,50.56650037403918
1080p,1920,1080,128,128,3,64,256,200.0,ws,gaussian,2149185.0,2.623878555,4308750.0,5.469223665,49.87954743255004,47.97533828779701
1080p,1920,1080,128,128,3,64,256,200.0,ws,sobel,2159565.0,2.8453451100000002,4308750.0,5.469223665,50.12045256744996,52.02466171220299
1080p,1920,1080,128,128,3,64,256,800.0,os,gaussian,4386375.0,9.76056648,8775285.0,19.74405144,49.98555602467612,49.435479388114885
1080p,1920,1080,128,128,3,64,256,800.0,os,sobel,4388910.0,9.98348496,8775285.0,19.74405144,50.01444397532387,50.56452061188512
1080p,1920,1080,128,128,3,64,256,800.0,ws,gaussian,2111625.0,2.634378555,4225785.0,5.490223665,49.970005572929054,47.98308257993347
1080p,1920,1080,128,128,3,64,256,800.0,ws,sobel,2114160.0,2.8558451099999997,4225785.0,5.490223665,50.029994427070946,52.01691742006652
1080p,1920,1080,128,128,3,64,1024,50.0,os,gaussian,4788615.0,2.2118914800000002,9618735.0,4.64670144,49.78424917621704,47.601325554499155
1080p,1920,1080,128,128,3,64,1024,50.0,os,sobel,4830120.0,2.43480996,9618735.0,4.64670144,50.215750823782955,52.398674445500845
1080p,1920,1080,128,128,3,64,1024,50.0,ws,gaussian,2777835.0,3.509553555,5597175.0,7.240573665,49.62923260394753,48.47065601949097
1080p,1920,1080,128,128,3,64,1024,50.0,ws,sobel,2819340.0,3.7310201100000002,5597175.0,7.240573665,50.37076739605247,51.52934398050903
1080p,1920,1080,128,128,3,64,1024,200.0,os,gaussian,4477515.0,2.21316648,8965410.0,4.6492514400000005,49.942110846018196,47.60264116840279
1080p,1920,1080,128,128,3,64,1024,200.0,os,sobel,4487895.0,2.43608496,8965410.0,4.6492514400000005,50.057889153981804,52.397358831597195
1080p,1920,1080,128,128,3,64,1024,200.0,ws,gaussian,2268795.0,3.511578555,4547970.0,7.244623665,49.88588315226354,48.47151097668508
1080p,1920,1080,128,128,3,64,1024,200.0,ws,sobel,2279175.0,3.73304511,4547970.0,7.244623665,50.11411684773647,51.52848902331492
1080p,1920,1080,128,128,3,64,1024,800.0,os,gaussian,4399800.0,2.22096648,8802135.0,4.66485144,49.98560008452495,47.61065831498377
