resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,stage_op,stage_cycles,stage_energy_mj,energy_backend,total_cycles,total_energy_mj,latency_share_pct,energy_share_pct
1080p,1920,1080,128,128,3,8,4096,800.0,ws,sobel,4204770.0,6.802324853999999,accelergy,8404350.0,12.916063281,50.03087686733656,52.66562036751916
1080p,1920,1080,128,128,3,16,256,50.0,os,gaussian,5254680.0,15.453716352,accelergy,10550865.0,31.259701056,49.80330996558102,49.43654555210088
1080p,1920,1080,128,128,3,16,256,50.0,os,sobel,5296185.0,15.805984704,accelergy,10550865.0,31.259701056,50.19669003441898,50.56345444789911
1080p,1920,1080,128,128,3,16,256,50.0,ws,gaussian,2280090.0,4.118354427,accelergy,4601685.0,8.583151281,49.549023890161976,47.98184596974949
1080p,1920,1080,128,128,3,16,256,50.0,ws,sobel,2321595.0,4.464796853999999,accelergy,4601685.0,8.583151281,50.45097610983803,52.01815403025051
1080p,1920,1080,128,128,3,16,256,200.0,os,gaussian,5104335.0,15.480236352,accelergy,10219050.0,31.312741056,49.949212500183485,49.437499975856475
1080p,1920,1080,128,128,3,16,256,200.0,os,sobel,5114715.0,15.832504704,accelergy,10219050.0,31.312741056,50.050787499816515,50.56250002414353
1080p,1920,1080,128,128,3,16,256,200.0,ws,gaussian,2129745.0,4.125674427,accelergy,4269870.0,8.597791281,49.87845063198645,47.98528240755511
1080p,1920,1080,128,128,3,16,256,200.0,ws,sobel,2140125.0,4.472116853999999,accelergy,4269870.0,8.597791281,50.121549368013554,52.014717592444896
1080p,1920,1080,128,128,3,16,256,800.0,os,gaussian,5066775.0,15.544076352000001,accelergy,10136085.0,31.440421056,49.98749517195248,49.4397842965071
1080p,1920,1080,128,128,3,16,256,800.0,os,sobel,5069310.0,15.896344704,accelergy,10136085.0,31.440421056,50.01250482804751,50.560215703492894
1080p,1920,1080,128,128,3,16,256,800.0,ws,gaussian,2092185.0,4.1511144269999996,accelergy,4186905.0,8.648671280999999,49.969727041812504,47.99713496013493
1080p,1920,1080,128,128,3,16,256,800.0,ws,sobel,2094720.0,4.497556854,accelergy,4186905.0,8.648671280999999,50.030272958187496,52.002865039865085
1080p,1920,1080,128,128,3,16,1024,50.0,os,gaussian,5469015.0,3.456476352,accelergy,10979535.0,7.265221056,49.8109892632065,47.575652899720936
1080p,1920,1080,128,128,3,16,1024,50.0,os,sobel,5510520.0,3.808744704,accelergy,10979535.0,7.265221056,50.18901073679349,52.424347100279064
1080p,1920,1080,128,128,3,16,1024,50.0,ws,gaussian,2721990.0,5.250434427,accelergy,5485485.0,10.847311281,49.62168340629862,48.40309539375521
1080p,1920,1080,128,128,3,16,1024,50.0,ws,sobel,2763495.0,5.596876854,accelergy,5485485.0,10.847311281,50.37831659370138,51.596904606244784
1080p,1920,1080,128,128,3,16,1024,200.0,os,gaussian,5157915.0,3.4595963519999997,accelergy,10326210.0,7.271461056,49.949739546261405,47.57773335174966
1080p,1920,1080,128,128,3,16,1024,200.0,os,sobel,5168295.0,3.8118647039999995,accelergy,10326210.0,7.271461056,50.050260453738595,52.422266648250336
1080p,1920,1080,128,128,3,16,1024,200.0,ws,gaussian,2240250.0,5.254634427000001,accelergy,4490880.0,10.855711281000001,49.88443244976486,48.40433105656396
1080p,1920,1080,128,128,3,16,1024,200.0,ws,sobel,2250630.0,5.601076854,accelergy,4490880.0,10.855711281000001,50.11556755023514,51.59566894343604
1080p,1920,1080,128,128,3,16,1024,800.0,os,gaussian,5080200.0,3.480716352,accelergy,10162935.0,7.313701055999999,49.987528209124626,47.59172305989314
1080p,1920,1080,128,128,3,16,1024,800.0,os,sobel,5082735.0,3.832984704,accelergy,10162935.0,7.313701055999999,50.01247179087537,52.408276940106866
1080p,1920,1080,128,128,3,16,1024,800.0,ws,gaussian,2119875.0,5.280074427000001,accelergy,4242285.0,10.906591281,49.97012223365474,48.4117749621574
1080p,1920,1080,128,128,3,16,1024,800.0,ws,sobel,2122410.0,5.626516854,accelergy,4242285.0,10.906591281,50.02987776634525,51.58822503784259
1080p,1920,1080,128,128,3,16,4096,50.0,os,gaussian,5469015.0,3.456476352,accelergy,10979535.0,7.265221056,49.8109892632065,47.575652899720936
1080p,1920,1080,128,128,3,16,4096,50.0,os,sobel,5510520.0,3.808744704,accelergy,10979535.0,7.265221056,50.18901073679349,52.424347100279064
1080p,1920,1080,128,128,3,16,4096,50.0,ws,gaussian,2784630.0,5.751554427,accelergy,5610765.0,11.849551281,49.630130650633205,48.53816225279561
1080p,1920,1080,128,128,3,16,4096,50.0,ws,sobel,2826135.0,6.097996854,accelergy,5610765.0,11.849551281,50.3698693493668,51.4618377472044
1080p,1920,1080,128,128,3,16,4096,200.0,os,gaussian,5157915.0,3.4595963519999997,accelergy,10326210.0,7.271461056,49.949739546261405,47.57773335174966
1080p,1920,1080,128,128,3,16,4096,200.0,os,sobel,5168295.0,3.8118647039999995,accelergy,10326210.0,7.271461056,50.050260453738595,52.422266648250336
1080p,1920,1080,128,128,3,16,4096,200.0,ws,gaussian,2255850.0,5.753834427000001,accelergy,4522080.0,11.854111281000002,49.885229805753106,48.5387245876657
1080p,1920,1080,128,128,3,16,4096,200.0,ws,sobel,2266230.0,6.1002768540000005,accelergy,4522080.0,11.854111281000002,50.114770194246894,51.46127541233431
1080p,1920,1080,128,128,3,16,4096,800.0,os,gaussian,5080200.0,3.480716352,accelergy,10162935.0,7.313701055999999,49.987528209124626,47.59172305989314
1080p,1920,1080,128,128,3,16,4096,800.0,os,sobel,5082735.0,3.832984704,accelergy,10162935.0,7.313701055999999,50.01247179087537,52.408276940106866
1080p,1920,1080,128,128,3,16,4096,800.0,ws,gaussian,2123715.0,5.771594427,accelergy,4249965.0,11.889631281,49.970176224980676,48.543090114351884
1080p,1920,1080,128,128,3,16,4096,800.0,ws,sobel,2126250.0,6.118036854,accelergy,4249965.0,11.889631281,50.029823775019324,51.456909885648116
1080p,1920,1080,128,128,3,32,256,50.0,os,gaussian,4801080.0,15.454040352,accelergy,9643665.0,31.257433056,49.78480691728715,49.44116915906992
