resolution,frame_width,frame_height,tile_width,tile_height,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,run_name,spec_hash,simulation_hash,tile_class,stage,stage_op,component,action,count
720p,1280,720,128,128,11,128,1024,800.0,ws,run_005f5866fb4b,,,bottom_edge,gaussian_k11,gaussian,accelerator.ofmap_sram,write,102400.0
720p,1280,720,128,128,11,128,1024,800.0,ws,run_005f5866fb4b,,,bottom_edge,gaussian_k11,gaussian,accelerator.ifmap_dram,read,14208000.0
720p,1280,720,128,128,11,128,1024,800.0,ws,run_005f5866fb4b,,,bottom_edge,gaussian_k11,gaussian,accelerator.filter_dram,read,160000.0
720p,1280,720,128,128,11,128,1024,800.0,ws,run_005f5866fb4b,,,bottom_edge,gaussian_k11,gaussian,accelerator.ofmap_dram,write,102400.0
720p,1280,720,128,128,11,128,1024,800.0,ws,run_005f5866fb4b,,,bottom_edge,sobel_3x3,sobel,accelerator.mac_array,mac,1843200.0
720p,1280,720,128,128,11,128,1024,800.0,ws,run_005f5866fb4b,,,bottom_edge,sobel_3x3,sobel,accelerator.ifmap_sram,read,921600.0
720p,1280,720,128,128,11,128,1024,800.0,ws,run_005f5866fb4b,,,bottom_edge,sobel_3x3,sobel,accelerator.filter_sram,read,180.0
720p,1280,720,128,128,11,128,1024,800.0,ws,run_005f5866fb4b,,,bottom_edge,sobel_3x3,sobel,accelerator.ofmap_sram,write,204800.0
720p,1280,720,128,128,11,128,1024,800.0,ws,run_005f5866fb4b,,,bottom_edge,sobel_3x3,sobel,accelerator.ifmap_dram,read,2368000.0
720p,1280,720,128,128,11,128,1024,800.0,ws,run_005f5866fb4b,,,bottom_edge,sobel_3x3,sobel,accelerator.filter_dram,read,16000.0
720p,1280,720,128,128,11,128,1024,800.0,ws,run_005f5866fb4b,,,bottom_edge,sobel_3x3,sobel,accelerator.ofmap_dram,write,204800.0
720p,1280,720,128,128,5,8,4096,50.0,ws,run_008616d3aa27,,,full,gaussian_k5,gaussian,accelerator.mac_array,mac,20480000.0
720p,1280,720,128,128,5,8,4096,50.0,ws,run_008616d3aa27,,,full,gaussian_k5,gaussian,accelerator.ifmap_sram,read,20480000.0
720p,1280,720,128,128,5,8,4096,50.0,ws,run_008616d3aa27,,,full,gaussian_k5,gaussian,accelerator.filter_sram,read,1250.0
720p,1280,720,128,128,5,8,4096,50.0,ws,run_008616d3aa27,,,full,gaussian_k5,gaussian,accelerator.ofmap_sram,write,3276800.0
720p,1280,720,128,128,5,8,4096,50.0,ws,run_008616d3aa27,,,full,gaussian_k5,gaussian,accelerator.ifmap_dram,read,26215000.0
720p,1280,720,128,128,5,8,4096,50.0,ws,run_008616d3aa27,,,full,gaussian_k5,gaussian,accelerator.filter_dram,read,10000.0
720p,1280,720,128,128,5,8,4096,50.0,ws,run_008616d3aa27,,,full,gaussian_k5,gaussian,accelerator.ofmap_dram,write,3276800.0
720p,1280,720,128,128,5,8,4096,50.0,ws,run_008616d3aa27,,,full,sobel_3x3,sobel,accelerator.mac_array,mac,14745600.0
720p,1280,720,128,128,5,8,4096,50.0,ws,run_008616d3aa27,,,full,sobel_3x3,sobel,accelerator.ifmap_sram,read,7372800.0
720p,1280,720,128,128,5,8,4096,50.0,ws,run_008616d3aa27,,,full,sobel_3x3,sobel,accelerator.filter_sram,read,900.0
720p,1280,720,128,128,5,8,4096,50.0,ws,run_008616d3aa27,,,full,sobel_3x3,sobel,accelerator.ofmap_sram,write,3276800.0
720p,1280,720,128,128,5,8,4096,50.0,ws,run_008616d3aa27,,,full,sobel_3x3,sobel,accelerator.ifmap_dram,read,13107500.0
720p,1280,720,128,128,5,8,4096,50.0,ws,run_008616d3aa27,,,full,sobel_3x3,sobel,accelerator.filter_dram,read,5000.0
720p,1280,720,128,128,5,8,4096,50.0,ws,run_008616d3aa27,,,full,sobel_3x3,sobel,accelerator.ofmap_dram,write,3276800.0
1080p,1920,1080,128,128,5,8,4096,50.0,ws,run_008616d3aa27,502798e8ebb7,fe6b2ca92c19,full,gaussian_k5,gaussian,accelerator.mac_array,mac,49152000.0
1080p,1920,1080,128,128,5,8,4096,50.0,ws,run_008616d3aa27,502798e8ebb7,fe6b2ca92c19,full,gaussian_k5,gaussian,accelerator.ifmap_sram,read,49152000.0
1080p,1920,1080,128,128,5,8,4096,50.0,ws,run_008616d3aa27,502798e8ebb7,fe6b2ca92c19,full,gaussian_k5,gaussian,accelerator.filter_sram,read,3000.0
