run_name,status,seconds,resolution,gaussian_kernel,array_size,sram_budget_kb,bandwidth_gbps,dataflow,tile_class,stdout_tail,stderr_tail,max_rss_gb
run_ca56b0ed5c81,rss_limit,75.727,720p,11,8,256,200.0,is,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",9.333
run_cd589d29d9e1,rss_limit,74.715,720p,11,8,256,800.0,is,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.275
run_cd6789b16aa5,rss_limit,4.101,1080p,11,128,256,800.0,is,bottom_edge,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",9.243
run_ce4004d9b615,rss_limit,7.120,720p,11,64,256,800.0,is,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.121
run_cee60e2abcde,completed,100.901,720p,11,8,1024,800.0,is,full,completed run_cee60e2abcde,,7.567
run_cefa2fb3b08b,rss_limit,4.100,720p,11,128,256,200.0,is,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.699
run_d0c953cf487d,completed,8.075,720p,11,128,4096,50.0,os,full,completed run_d0c953cf487d,,1.837
run_d350b3db2f90,completed,4.054,1080p,11,128,4096,50.0,is,bottom_edge,completed run_d350b3db2f90,,0.991
run_d5a41a458f19,completed,97.874,720p,11,8,4096,200.0,is,full,completed run_d5a41a458f19,,3.125
run_d83e5376c8f6,completed,26.244,1080p,11,8,4096,200.0,is,bottom_edge,completed run_d83e5376c8f6,,1.597
run_e226a4453a43,completed,4.052,1080p,11,128,4096,800.0,is,bottom_edge,completed run_e226a4453a43,,0.970
run_e260050b609a,completed,8.091,1080p,11,32,1024,800.0,is,bottom_edge,completed run_e260050b609a,,1.764
run_e32f559482a3,completed,15.144,1080p,11,16,4096,50.0,is,bottom_edge,completed run_e32f559482a3,,1.599
run_e49f793f11b3,completed,3.046,1080p,7,64,4096,200.0,is,bottom_edge,completed run_e49f793f11b3,,0.702
run_e4e4e2939313,rss_limit,56.571,720p,11,16,1024,800.0,is,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.110
run_e58910a9f57f,completed,16.145,1080p,11,16,1024,800.0,is,bottom_edge,completed run_e58910a9f57f,,2.005
run_e59c030d1095,completed,64.572,720p,11,16,4096,50.0,is,full,completed run_e59c030d1095,,3.363
run_e69d07b311bc,rss_limit,4.116,1080p,11,128,256,50.0,is,bottom_edge,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.554
run_e7bca15d2987,rss_limit,51.516,720p,11,16,256,800.0,is,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",9.422
run_ed9cdb6ae61e,rss_limit,7.123,720p,11,128,1024,200.0,is,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.224
run_f0e2c8fc865e,rss_limit,23.277,1080p,11,8,256,200.0,is,bottom_edge,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.840
run_f325f73d0b94,completed,15.146,720p,11,64,4096,200.0,is,full,completed run_f325f73d0b94,,3.206
run_f525cbae681a,completed,5.055,1080p,11,128,1024,200.0,is,bottom_edge,completed run_f525cbae681a,,1.879
run_f689e76a358d,completed,16.180,1080p,11,16,1024,200.0,is,bottom_edge,completed run_f689e76a358d,,1.858
run_f7420172b6c6,rss_limit,4.118,1080p,7,32,256,800.0,is,bottom_edge,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",9.689
run_f90ee06d4a14,completed,8.128,720p,11,128,4096,200.0,os,full,completed run_f90ee06d4a14,,1.838
run_fa80b307a3c4,rss_limit,3.102,720p,11,128,256,50.0,is,bottom_edge,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.330
run_fcf705c03a7e,rss_limit,51.672,720p,11,16,1024,200.0,is,full,,"/Users/yimengwang/.local/share/uv/python/cpython-3.11.15-macos-aarch64-none/lib/python3.11/multiprocessing/resource_tracker.py:254: UserWarning: resource_tracker: There appear to be 1 leaked semaphore objects to clean up at shutdown
  warnings.warn('resource_tracker: There appear to be %d '",8.372
run_fe238b00b982,completed,3.052,1080p,7,128,1024,50.0,is,bottom_edge,completed run_fe238b00b982,,0.914
